Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;07.03.2009;0;8;0,2;2,6
Oslo - Blindern;SN18700;08.03.2009;0;8;6,7;0,9
Oslo - Blindern;SN18700;09.03.2009;0;7,3;15,5;3
Oslo - Blindern;SN18700;10.03.2009;0,2;7;0;2,5
Oslo - Blindern;SN18700;11.03.2009;8,6;3,7;0;6,5
Oslo - Blindern;SN18700;12.03.2009;0;7,7;0;1,4
Oslo - Blindern;SN18700;13.03.2009;0;8;9,2;1,6
Oslo - Blindern;SN18700;14.03.2009;0;8;0;1,1
Oslo - Blindern;SN18700;15.03.2009;4,8;6,3;0;6
Oslo - Blindern;SN18700;16.03.2009;0;7,3;0;3,8
Oslo - Blindern;SN18700;17.03.2009;9;3,3;0;9
Oslo - Blindern;SN18700;18.03.2009;8,5;5;0;9,9
Oslo - Blindern;SN18700;19.03.2009;11,3;1;0;8,3
Oslo - Blindern;SN18700;01.03.2010;2,1;6;0,1;-0,4
Oslo - Blindern;SN18700;02.03.2010;8,9;1,3;0;4,9
Oslo - Blindern;SN18700;03.03.2010;9,4;1,3;0;3,9
Oslo - Blindern;SN18700;04.03.2010;9,1;1,3;0;1,8
Oslo - Blindern;SN18700;05.03.2010;5,5;4,3;0;-1,2
Oslo - Blindern;SN18700;06.03.2010;8,2;1;0;-0,1
Oslo - Blindern;SN18700;07.03.2010;4,9;3,7;0;4,2
Oslo - Blindern;SN18700;08.03.2010;4;7,3;0;2,4
Oslo - Blindern;SN18700;09.03.2010;8,3;3,3;0;5,7
Oslo - Blindern;SN18700;10.03.2010;8,9;3,3;0;9,7
Oslo - Blindern;SN18700;11.03.2010;0,5;7,7;0;4,2
Oslo - Blindern;SN18700;12.03.2010;7,6;5,3;0;7
Oslo - Blindern;SN18700;13.03.2010;4,9;4,7;0;6,5
Oslo - Blindern;SN18700;14.03.2010;4,8;3,3;0,1;5,3
Oslo - Blindern;SN18700;15.03.2010;10,1;2;0;5,1
Oslo - Blindern;SN18700;16.03.2010;6;5,3;0;6,3
Oslo - Blindern;SN18700;17.03.2010;0,3;7,3;0;5,1
Oslo - Blindern;SN18700;18.03.2010;0,1;7,7;0;6,3
Oslo - Blindern;SN18700;19.03.2010;0;8;0,1;4,8
Oslo - Blindern;SN18700;01.03.2011;-;8;0;-0,7
Oslo - Blindern;SN18700;02.03.2011;-;8;0;-0,8
Oslo - Blindern;SN18700;03.03.2011;-;8;0;-0,6
Oslo - Blindern;SN18700;04.03.2011;-;8;0,1;-0,7
Oslo - Blindern;SN18700;05.03.2011;-;0,7;0;5,4
Oslo - Blindern;SN18700;06.03.2011;-;4,7;0;3,4
Oslo - Blindern;SN18700;07.03.2011;-;7;0;3,8
Oslo - Blindern;SN18700;08.03.2011;-;5,7;0;3,5
Oslo - Blindern;SN18700;09.03.2011;-;7,7;5;1,7
Oslo - Blindern;SN18700;10.03.2011;-;6;3,6;0,6
Oslo - Blindern;SN18700;11.03.2011;-;4,7;3;1,6
Oslo - Blindern;SN18700;12.03.2011;-;4;0;6,2
Oslo - Blindern;SN18700;13.03.2011;-;8;0;2,1
Oslo - Blindern;SN18700;14.03.2011;-;5;1,7;5,1
Oslo - Blindern;SN18700;15.03.2011;-;5;0;5,5
Oslo - Blindern;SN18700;16.03.2011;-;1,3;0;3,4
Oslo - Blindern;SN18700;17.03.2011;-;6,3;0;1,3
Oslo - Blindern;SN18700;18.03.2011;-;7,3;0;2,2
Oslo - Blindern;SN18700;19.03.2011;-;2,3;1,7;7,8
Oslo - Blindern;SN18700;01.03.2012;-;2;0;11,8
Oslo - Blindern;SN18700;02.03.2012;-;1;0;8,6
Oslo - Blindern;SN18700;03.03.2012;-;4,3;0;6,4
Oslo - Blindern;SN18700;04.03.2012;-;7,3;0;2,7
Oslo - Blindern;SN18700;05.03.2012;-;5,3;0;3,9
Oslo - Blindern;SN18700;06.03.2012;-;7,3;0;1,2
Oslo - Blindern;SN18700;07.03.2012;-;8;0;0,9
Oslo - Blindern;SN18700;08.03.2012;-;8;15,2;1,5
Oslo - Blindern;SN18700;09.03.2012;-;8;0,1;6,6
Oslo - Blindern;SN18700;10.03.2012;-;3,7;0;11,2
Oslo - Blindern;SN18700;11.03.2012;-;6;0;12,9
Oslo - Blindern;SN18700;12.03.2012;-;2;0;16,1
Oslo - Blindern;SN18700;13.03.2012;-;4,3;0;16,8
Oslo - Blindern;SN18700;14.03.2012;-;4,3;0;11,2
Oslo - Blindern;SN18700;15.03.2012;-;6,3;0;8,8
Oslo - Blindern;SN18700;16.03.2012;-;7,7;0;8,7
Oslo - Blindern;SN18700;17.03.2012;-;8;0;6,4
Oslo - Blindern;SN18700;18.03.2012;-;4;2,5;9,3
Oslo - Blindern;SN18700;19.03.2012;-;3;0;8,8
Oslo - Blindern;SN18700;01.03.2013;9,6;2,3;0;8,4
Oslo - Blindern;SN18700;02.03.2013;5,9;5,7;0;10,1
Oslo - Blindern;SN18700;03.03.2013;10;3;0;7,4
Oslo - Blindern;SN18700;04.03.2013;0,2;6,7;0;5,6
Oslo - Blindern;SN18700;05.03.2013;0;7,7;0;2,3
Oslo - Blindern;SN18700;06.03.2013;4,3;6,7;0;8,1
Oslo - Blindern;SN18700;07.03.2013;10,4;4;0;2,7
Oslo - Blindern;SN18700;08.03.2013;10,6;1;0;3,6
Oslo - Blindern;SN18700;09.03.2013;3,2;6;0;-1,5
Oslo - Blindern;SN18700;10.03.2013;10,8;0,7;0,1;-3,6
Oslo - Blindern;SN18700;11.03.2013;10,3;3,3;0;2,8
Oslo - Blindern;SN18700;12.03.2013;6,8;6,3;0;4,7
Oslo - Blindern;SN18700;13.03.2013;10,6;2;0;0,7
Oslo - Blindern;SN18700;14.03.2013;10,8;1;0;0,4
Oslo - Blindern;SN18700;15.03.2013;2,1;7;0;-2,4
Oslo - Blindern;SN18700;16.03.2013;0;8;6,9;0,1
Oslo - Blindern;SN18700;17.03.2013;3,2;6,3;1,2;1,6
Oslo - Blindern;SN18700;18.03.2013;-;2,7;0,4;0,3
Oslo - Blindern;SN18700;19.03.2013;1,6;8;0;-2,2
Oslo - Blindern;SN18700;01.03.2014;0;8;7,9;2,9
Oslo - Blindern;SN18700;02.03.2014;0;8;5,1;2,3
Oslo - Blindern;SN18700;03.03.2014;0;8;7,3;3
Oslo - Blindern;SN18700;04.03.2014;0;8;1,7;2,9
Oslo - Blindern;SN18700;05.03.2014;0;8;4,2;3,3
Oslo - Blindern;SN18700;06.03.2014;0;8;3,9;5,4
Oslo - Blindern;SN18700;07.03.2014;0;8;9,1;6,3
Oslo - Blindern;SN18700;08.03.2014;6,4;4,7;9,9;9
Oslo - Blindern;SN18700;09.03.2014;3,1;8;0;8,6
Oslo - Blindern;SN18700;10.03.2014;6,5;3,3;0;10,6
Oslo - Blindern;SN18700;11.03.2014;9,9;5,3;0;9,8
Oslo - Blindern;SN18700;12.03.2014;10,1;4,3;0;11,2
Oslo - Blindern;SN18700;13.03.2014;4,8;3;0;8,9
Oslo - Blindern;SN18700;14.03.2014;3,9;7;0;9
Oslo - Blindern;SN18700;15.03.2014;7,3;5,7;0;8
Oslo - Blindern;SN18700;16.03.2014;3,5;7,3;0;5,9
Oslo - Blindern;SN18700;17.03.2014;11,2;2,3;1,5;7,3
Oslo - Blindern;SN18700;18.03.2014;3,9;6,7;0;8,9
Oslo - Blindern;SN18700;19.03.2014;1,2;8;0,2;4,2
Oslo - Blindern;SN18700;01.03.2015;0;8;2,4;3,5
Oslo - Blindern;SN18700;02.03.2015;2,2;7,7;8;6,4
Oslo - Blindern;SN18700;03.03.2015;4,9;6;1,8;5,3
Oslo - Blindern;SN18700;04.03.2015;10,2;1;0,1;5,8
Oslo - Blindern;SN18700;05.03.2015;4,8;5;0;4,7
Oslo - Blindern;SN18700;06.03.2015;6,9;7,3;0;9,7
Oslo - Blindern;SN18700;07.03.2015;1;7,3;0;7,6
Oslo - Blindern;SN18700;08.03.2015;0,1;7,7;0;8,3
Oslo - Blindern;SN18700;09.03.2015;7;4,7;0;9,3
Oslo - Blindern;SN18700;10.03.2015;9;3,7;1,2;13,2
Oslo - Blindern;SN18700;11.03.2015;10,8;0,3;0;10,4
Oslo - Blindern;SN18700;12.03.2015;10,1;3;0;10,4
Oslo - Blindern;SN18700;13.03.2015;11;0,7;0;9,3
Oslo - Blindern;SN18700;14.03.2015;11,1;0,7;0;9,8
Oslo - Blindern;SN18700;15.03.2015;9,4;4,7;0;8,8
Oslo - Blindern;SN18700;16.03.2015;0,1;7,7;0;6,4
Oslo - Blindern;SN18700;17.03.2015;3,9;7,3;0;7,9
Oslo - Blindern;SN18700;18.03.2015;0;8;0;6,5
Oslo - Blindern;SN18700;19.03.2015;0;8;2,8;5
Oslo - Blindern;SN18700;01.03.2016;0;8;0;0,4
Oslo - Blindern;SN18700;02.03.2016;0;8;2,6;0,3
Oslo - Blindern;SN18700;03.03.2016;1,2;7;10,9;2,8
Oslo - Blindern;SN18700;04.03.2016;0;8;3,5;1,8
Oslo - Blindern;SN18700;05.03.2016;0;8;6,1;2,2
Oslo - Blindern;SN18700;06.03.2016;0;8;0,8;1,9
Oslo - Blindern;SN18700;07.03.2016;0,2;8;5,6;3,3
Oslo - Blindern;SN18700;08.03.2016;6;5,7;3,1;5,4
Oslo - Blindern;SN18700;09.03.2016;1,4;8;0;4,2
Oslo - Blindern;SN18700;10.03.2016;0;7;0,1;3,9
Oslo - Blindern;SN18700;11.03.2016;3,9;7,3;0;3,9
Oslo - Blindern;SN18700;12.03.2016;0,1;8;0;2,2
Oslo - Blindern;SN18700;13.03.2016;0;7,7;0;5
Oslo - Blindern;SN18700;14.03.2016;6,8;5;0,7;14,1
Oslo - Blindern;SN18700;15.03.2016;11,2;1,3;0;15,7
Oslo - Blindern;SN18700;16.03.2016;11,3;1,3;0;13
Oslo - Blindern;SN18700;17.03.2016;5,6;6,3;0;8,9
Oslo - Blindern;SN18700;18.03.2016;10,1;5,3;0;11,1
Oslo - Blindern;SN18700;19.03.2016;10,5;3,7;0;12,1
Oslo - Blindern;SN18700;01.03.2017;2,8;7;9,9;4,9
Oslo - Blindern;SN18700;02.03.2017;0,1;7,3;0;2,3
Oslo - Blindern;SN18700;03.03.2017;0;7,7;0,5;0,8
Oslo - Blindern;SN18700;04.03.2017;0;7,7;0,7;1,3
Oslo - Blindern;SN18700;05.03.2017;0;7,7;0,4;0,9
Oslo - Blindern;SN18700;06.03.2017;8,8;4;0;0,3
Oslo - Blindern;SN18700;07.03.2017;8,5;4;0,1;0,2
Oslo - Blindern;SN18700;08.03.2017;5,3;4,7;0;0,7
Oslo - Blindern;SN18700;09.03.2017;0;8;5;2,4
Oslo - Blindern;SN18700;10.03.2017;10,3;2,3;0,2;7,8
Oslo - Blindern;SN18700;11.03.2017;9,5;2,7;0;6,9
Oslo - Blindern;SN18700;12.03.2017;0;8;1,7;4,2
Oslo - Blindern;SN18700;13.03.2017;0;8;0,1;3
Oslo - Blindern;SN18700;14.03.2017;2,9;5,7;1,8;9,6
Oslo - Blindern;SN18700;15.03.2017;11;1;1,1;10,9
Oslo - Blindern;SN18700;16.03.2017;0,1;7,3;0;7,4
Oslo - Blindern;SN18700;17.03.2017;10,3;4,3;0;9,5
Oslo - Blindern;SN18700;18.03.2017;4,9;3,3;0;6,8
Oslo - Blindern;SN18700;19.03.2017;4,8;6,7;0;4,5
Oslo - Blindern;SN18700;01.03.2018;6,9;4,3;0,1;-7,3
Oslo - Blindern;SN18700;02.03.2018;1,4;7;0;-2,9
Oslo - Blindern;SN18700;03.03.2018;0,1;7,7;0;-3,5
Oslo - Blindern;SN18700;04.03.2018;5,4;6,3;0;-0,1
Oslo - Blindern;SN18700;05.03.2018;0;8;0,1;-3,9
Oslo - Blindern;SN18700;06.03.2018;0;8;1,1;-2,9
Oslo - Blindern;SN18700;07.03.2018;0;8;0,2;-0,6
Oslo - Blindern;SN18700;08.03.2018;0;8;0,1;-0,7
Oslo - Blindern;SN18700;09.03.2018;3,4;6;2,2;0,7
Oslo - Blindern;SN18700;10.03.2018;0,7;8;0,1;-0,9
Oslo - Blindern;SN18700;11.03.2018;0;8;0;-2,3
Oslo - Blindern;SN18700;12.03.2018;0;8;7,1;1,6
Oslo - Blindern;SN18700;13.03.2018;2,8;7,3;0,9;2,9
Oslo - Blindern;SN18700;14.03.2018;10,2;4,7;0;4,5
Oslo - Blindern;SN18700;15.03.2018;3,6;5,7;0;0
Oslo - Blindern;SN18700;16.03.2018;11,1;1,3;0;-2,2
Oslo - Blindern;SN18700;17.03.2018;11,3;1;0;-0,6
Oslo - Blindern;SN18700;18.03.2018;11,4;2,3;0;1,5
Oslo - Blindern;SN18700;19.03.2018;4,7;5;0;5,7
Oslo - Blindern;SN18700;01.03.2019;9,7;3,3;0;6,5
Oslo - Blindern;SN18700;02.03.2019;3,3;5,7;0;5,4
Oslo - Blindern;SN18700;03.03.2019;0,2;7,7;5,6;5,2
Oslo - Blindern;SN18700;04.03.2019;0;8;5,8;3,6
Oslo - Blindern;SN18700;05.03.2019;0;8;3,4;1,6
Oslo - Blindern;SN18700;06.03.2019;0;8;3,6;-0,6
Oslo - Blindern;SN18700;07.03.2019;0;8;6,9;2
Oslo - Blindern;SN18700;08.03.2019;2,8;5,7;12,9;3,9
Oslo - Blindern;SN18700;09.03.2019;0;8;0,8;0,6
Oslo - Blindern;SN18700;10.03.2019;10,8;1,7;1,5;2,5
Oslo - Blindern;SN18700;11.03.2019;10,8;2,3;0;3,9
Oslo - Blindern;SN18700;12.03.2019;0,4;6,3;0;-0,1
Oslo - Blindern;SN18700;13.03.2019;0,3;7,3;8,2;3,4
Oslo - Blindern;SN18700;14.03.2019;1,8;6;5,6;1,9
Oslo - Blindern;SN18700;15.03.2019;0;8;0;1,7
Oslo - Blindern;SN18700;16.03.2019;0;8;0,6;2,4
Oslo - Blindern;SN18700;17.03.2019;0;8;8,2;3,3
Oslo - Blindern;SN18700;18.03.2019;9,9;2;8,8;6,9
Oslo - Blindern;SN18700;19.03.2019;10,7;3;0;7,8
Oslo - Blindern;SN18700;01.03.2020;0,1;7,3;12,3;2,8
Oslo - Blindern;SN18700;02.03.2020;1,8;7,3;4,7;5,8
Oslo - Blindern;SN18700;03.03.2020;0;8;5;3,1
Oslo - Blindern;SN18700;04.03.2020;0;8;3,3;2
Oslo - Blindern;SN18700;05.03.2020;7,2;3,3;4;4,2
Oslo - Blindern;SN18700;06.03.2020;1,7;7,7;0;0,7
Oslo - Blindern;SN18700;07.03.2020;0;8;0;-0,2
Oslo - Blindern;SN18700;08.03.2020;0;8;2,2;6,1
Oslo - Blindern;SN18700;09.03.2020;1,8;7;1,8;8,6
Oslo - Blindern;SN18700;10.03.2020;0;8;0;5,3
Oslo - Blindern;SN18700;11.03.2020;6,1;5;7,9;10,4
Oslo - Blindern;SN18700;12.03.2020;5,5;6,7;0;8,3
Oslo - Blindern;SN18700;13.03.2020;7,6;3,3;0,1;5
Oslo - Blindern;SN18700;14.03.2020;10,1;4;0,1;3,9
Oslo - Blindern;SN18700;15.03.2020;0;7,7;0,8;6,3
Oslo - Blindern;SN18700;16.03.2020;5,5;5,7;2,2;8
Oslo - Blindern;SN18700;17.03.2020;6,1;5,3;0;12,2
Oslo - Blindern;SN18700;18.03.2020;8,7;4;0;10,1
Oslo - Blindern;SN18700;19.03.2020;9,8;1,7;0;10,7
Oslo - Blindern;SN18700;01.03.2021;1,8;7,3;0;5,5
Oslo - Blindern;SN18700;02.03.2021;9,7;4;0;12,4
Oslo - Blindern;SN18700;03.03.2021;0;8;0,2;5,7
Oslo - Blindern;SN18700;04.03.2021;10,1;1;0;5,4
Oslo - Blindern;SN18700;05.03.2021;9,8;2;0;5,9
Oslo - Blindern;SN18700;06.03.2021;0,2;5;0;7,7
Oslo - Blindern;SN18700;07.03.2021;10,5;4,3;0;7,1
Oslo - Blindern;SN18700;08.03.2021;10,4;3,7;0;3,9
Oslo - Blindern;SN18700;09.03.2021;6,3;5,7;0;6,9
Oslo - Blindern;SN18700;10.03.2021;0;8;1,8;4,6
Oslo - Blindern;SN18700;11.03.2021;0;8;12,9;1,3
Oslo - Blindern;SN18700;12.03.2021;5,3;6;12,3;7,2
Oslo - Blindern;SN18700;13.03.2021;0,6;7,3;0;4,7
Oslo - Blindern;SN18700;14.03.2021;5,9;7;0;7
Oslo - Blindern;SN18700;15.03.2021;7,1;4;0,2;8,8
Oslo - Blindern;SN18700;16.03.2021;3,7;6;0;7
Oslo - Blindern;SN18700;17.03.2021;9,9;4,3;0;6,8
Oslo - Blindern;SN18700;18.03.2021;5,7;7;0;8,7
Oslo - Blindern;SN18700;19.03.2021;4,4;6;0,1;6,1
Oslo - Blindern;SN18700;01.03.2022;6,2;4,7;0,6;8,3
Oslo - Blindern;SN18700;02.03.2022;10,1;1;0;10,9
Oslo - Blindern;SN18700;03.03.2022;10;3;0;6,9
Oslo - Blindern;SN18700;04.03.2022;10,3;1;0;5,5
Oslo - Blindern;SN18700;05.03.2022;7,2;5;0;4,6
Oslo - Blindern;SN18700;06.03.2022;9,6;2,7;0;8,6
Oslo - Blindern;SN18700;07.03.2022;9,1;4,3;0;8,5
Oslo - Blindern;SN18700;08.03.2022;8;5,3;0;5
Oslo - Blindern;SN18700;09.03.2022;0;8;0;0,1
Oslo - Blindern;SN18700;10.03.2022;0;8;0,1;2,8
Oslo - Blindern;SN18700;11.03.2022;3,7;5,7;0,2;4,8
Oslo - Blindern;SN18700;12.03.2022;10,5;1,7;0;6,9
Oslo - Blindern;SN18700;13.03.2022;9,6;6,3;0;8,3
Oslo - Blindern;SN18700;14.03.2022;10,8;3;0;10,3
Oslo - Blindern;SN18700;15.03.2022;8,8;3,3;0;8,4
Oslo - Blindern;SN18700;16.03.2022;0;8;0;4
Oslo - Blindern;SN18700;17.03.2022;0;7,7;0;4,1
Oslo - Blindern;SN18700;18.03.2022;9,7;3,7;2,4;10,8
Oslo - Blindern;SN18700;19.03.2022;10,3;1,7;0;11,4
Oslo - Blindern;SN18700;01.03.2023;10;1,3;0;9,8
Oslo - Blindern;SN18700;02.03.2023;8,5;3,3;0;6,9
Oslo - Blindern;SN18700;03.03.2023;4;5,7;0;8,4
Oslo - Blindern;SN18700;04.03.2023;8,8;5;0;7,1
Oslo - Blindern;SN18700;05.03.2023;9,6;1,7;0;4,6
Oslo - Blindern;SN18700;06.03.2023;10;1,3;0;2,3
Oslo - Blindern;SN18700;07.03.2023;6,7;5,7;0;-1,3
Oslo - Blindern;SN18700;08.03.2023;10;2,7;0;1,1
Oslo - Blindern;SN18700;09.03.2023;10,5;2,3;1,1;-0,5
Oslo - Blindern;SN18700;10.03.2023;9,4;4;0;0,8
Oslo - Blindern;SN18700;11.03.2023;8,5;3,3;0;1,1
Oslo - Blindern;SN18700;12.03.2023;6,3;5,3;0;1,9
Oslo - Blindern;SN18700;13.03.2023;0;8;2,6;-0,3
Oslo - Blindern;SN18700;14.03.2023;5,6;6,7;12,8;5,2
Oslo - Blindern;SN18700;15.03.2023;11,1;1;0;6,5
Oslo - Blindern;SN18700;16.03.2023;4,6;5;0;3,6
Oslo - Blindern;SN18700;17.03.2023;0;8;5,8;2,3
Oslo - Blindern;SN18700;18.03.2023;3,4;6,7;13,1;8,3
Oslo - Blindern;SN18700;19.03.2023;0;8;0,1;4,1
Data er gyldig per 23.03.2023 (CC BY 4.0), Meteorologisk institutt (MET);;;;;;
